filename,numeric_count,date_count,categorical_count,chart_type
synth_3_2_4.csv,3,2,4,line chart
synth_5_3_3.csv,5,3,3,scatter plot
synth_3_0_3.csv,3,0,3,scatter plot
synth_0_2_3.csv,0,2,3,table
synth_0_3_0.csv,0,3,0,table
synth_3_2_4.csv,3,2,4,scatter plot
synth_4_0_5.csv,4,0,5,scatter plot
synth_2_0_3.csv,2,0,3,scatter plot
synth_4_2_4.csv,4,2,4,scatter plot
synth_4_1_4.csv,4,1,4,histogram
synth_4_1_2.csv,4,1,2,scatter plot
synth_0_3_1.csv,0,3,1,table
synth_4_2_2.csv,4,2,2,scatter plot
synth_1_3_5.csv,1,3,5,line chart
synth_2_3_5.csv,2,3,5,scatter plot
synth_0_1_0.csv,0,1,0,table
synth_0_3_0.csv,0,3,0,table
synth_5_0_0.csv,5,0,0,scatter plot
synth_3_2_2.csv,3,2,2,scatter plot
players_21.csv,62,0,44,scatter plot
synth_2_3_0.csv,2,3,0,scatter plot
synth_4_3_3.csv,4,3,3,scatter plot
synth_5_0_4.csv,5,0,4,scatter plot
synth_1_0_0.csv,1,0,0,histogram
synth_2_3_5.csv,2,3,5,scatter plot
synth_1_0_3.csv,1,0,3,bar chart
synth_4_2_3.csv,4,2,3,scatter plot
synth_5_1_3.csv,5,1,3,scatter plot
synth_1_1_0.csv,1,1,0,line chart
synth_1_2_5.csv,1,2,5,line chart
synth_1_3_0.csv,1,3,0,line chart
synth_1_2_0.csv,1,2,0,line chart
synth_4_0_0.csv,4,0,0,scatter plot
synth_3_2_0.csv,3,2,0,scatter plot
synth_0_3_3.csv,0,3,3,table
synth_5_0_4.csv,5,0,4,scatter plot
synth_2_0_5.csv,2,0,5,scatter plot
synth_2_1_3.csv,2,1,3,scatter plot
synth_1_0_1.csv,1,0,1,bar chart
synth_0_1_0.csv,0,1,0,histogram
synth_4_1_5.csv,4,1,5,scatter plot
synth_3_1_2.csv,3,1,2,scatter plot
synth_4_1_4.csv,4,1,4,scatter plot
synth_0_0_3.csv,0,0,3,table
synth_2_0_5.csv,2,0,5,scatter plot
synth_0_2_5.csv,0,2,5,table
synth_3_0_3.csv,3,0,3,scatter plot
synth_2_2_3.csv,2,2,3,scatter plot
synth_4_3_5.csv,4,3,5,scatter plot
synth_5_2_1.csv,5,2,1,scatter plot
synth_3_2_2.csv,3,2,2,scatter plot
synth_5_1_5.csv,5,1,5,scatter plot
synth_4_1_4.csv,4,1,4,scatter plot
synth_0_3_3.csv,0,3,3,table
synth_2_3_1.csv,2,3,1,scatter plot
synth_4_0_5.csv,4,0,5,scatter plot
synth_5_3_0.csv,5,3,0,scatter plot
synth_5_1_5.csv,5,1,5,scatter plot
synth_2_0_4.csv,2,0,4,scatter plot
synth_3_0_5.csv,3,0,5,scatter plot
synth_2_3_0.csv,2,3,0,scatter plot
shanghaiData.csv,8,0,3,scatter plot
synth_0_3_5.csv,0,3,5,scatter plot
synth_0_1_2.csv,0,1,2,table
